"Review","Tokens"

"완전 최고 스펀지 밥도 보고 세일러문 도 보고 만화만이 재밌는데.","완전/NNG|최고/NNG|스펀지/NNG|밥/NNG|도/JX|보/VV|고/ECE|세일러/NNG|문/NNG|도/NNG|보고/NNG|만화/NNG|만이/NNG|재미/NNG|있/VV|는데/ECD|./SF"

"마법사의 신부 재미있게 보고있었는데 사라졌어요 어디갔죠?","마법사/NNG|의/JKG|신부/NNG|재미/NNG|있/VV|게/ECD|보/VV|고/ECE|있/VXV|었/EPT|는데/ECD|사라지/VV|었/EPT|어요/EFN|어디/NP|가/VV|었/EPT|죠/EFN|?/SF"

"훌륭한 영화공삽게 시청하고있음.","훌륭/XR|하/XSA|ㄴ/ETD|영화/NNG|공/NNG|삽/NNG|게/NNG|시청/NNG|하/XSV|고/ECE|있음/NNG|./SF"

"짱구는 못말려 시즌별로 넣어주세요.  악마학교에 입문했습니다 이루마군 시즌별로 넣어주세요.  프린세스 스타의 비밀일기도 꼭 꼭 넣어주세요. ","짱구/NNG|는/JX|못/MAG|말리/VV|어/ECS|시즌/NNG|별/NNG|로/JKM|넣/VV|어/ECD|주/VXV|세요/EFN|./SF|악마/NNG|학교/NNG|에/JKM|입문/NNG|하/XSV|었/EPT|습니다/EFN|이루/NNG|마군/NNG|시즌/NNG|별/NNG|로/JKM|넣/VV|어/ECD|주/VXV|세요/EFN|./SF|프린세스/NNG|스타/NNG|의/JKG|비밀/NNG|일기/NNG|도/JX|꼭/MAG|꼭/MAG|넣/VV|어/ECD|주/VXV|세요/EFN|./SF"

"겔노트20 며칠째 들어가지도 못하고 계속 튕깁니다. 제발 고쳐주세요. ","겔/UN|노트/NNG|20/NR|며칠/NNG|째/XSN|들어가/VV|지/ECD|도/JX|못하/VX|고/ECE|계속/MAG|튕기/VV|ㅂ니다/EFN|./SF|제발/MAG|고치/VV|어/ECS|주/VXV|세요/EFN|./SF"

"바보들아 결제했는데 왜자꾸 튕겨 나빳어 고쳐내. 수정 잘됨.","바보/NNG|들/XSN|아/VV|아/ECS|결제/NNG|하/XSV|었/EPT|는데/ECD|왜/MAG|자꾸/MAG|튕기/VV|어/ECS|나/NP|빳/UN|어/VV|어/ECS|고치/VV|어/ECS|내/NP|./SF|수정/NNG|잘/MAG|되/VV|ㅁ/ETN|./SF"

"일상 생활에서 필요.","일상/NNG|생활/NNG|에서/JKM|필요/NNG|./SF"

"스트레스 받기위해서 만든건가요 로그인을 할수 없습니다 다음부터 구글로 로그인 해 주세요.  넷플릭스 스트레스 받기위한 앱 입니다 여러분 넷플릭스 깔지마세요.","스트레스/NNG|받/VV|기/ETN|위하/VV|어서/ECD|만들/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|로그인/NNG|을/JKO|하/VV|ㄹ/ETD|수/NNB|없/VA|습니다/EFN|다음/NNG|부터/JX|구글/NNG|로/JKM|로그인/NNG|하/VV|어/ECS|주/VXV|세요/EFN|./SF|넷플릭스/NNG|스트레스/NNG|받/VV|기/ETN|위하/VV|ㄴ/ETD|앱/NNG|이/VCP|ㅂ니다/EFN|여러분/NP|넷플릭스/NNG|까/VV|ㄹ지/ECD|마/VV|세요/EFN|./SF"

"이제 LG 폰들은 버려졌군요. V50S는 앱 재설치해도 SD 화질입니다. 왜 HD 화질에서 제조사 없어졌다고 넷플릭스가 임의로 화질을 내리는건지 어이가 없네요.","이제/MAG|LG/OL|스마트폰/NNG|들/XSN|은/JX|버리/VV|어/ECS|지/VXV|었/EPT|군요/EFI|./SF|V/OL|50/NR|S/OL|는/JX|앱/NNG|재/XPN|설치/NNG|하/XSV|어도/ECD|SD/OL|화질/NNG|이/VCP|ㅂ니다/EFN|./SF|왜/MAG|화질/NNG|화질/NNG|에서/JKM|제조사/NNG|없/VA|어/ECD|지/VXV|었/EPT|다고/EFN|넷플릭스/NNG|가/JKS|임의/NNG|로/JKM|화질/NNG|을/JKO|내리/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|어이/NNG|가/JKS|없/VA|네요/EFN|./SF"

"업데이트후 메인화면에서 멈춰있어요.","업데이트/NNG|후/NNG|메인/NNG|화면/NNG|에서/JKM|멈추/VV|어/ECS|있/VXV|어요/EFN|./SF"

"SD 카드 인식을 못해서 SD카드에 오프라인 저장이 안 됨. 내 SD카드가 문제인 줄 알았는데 DISNEY 에서는 잘 저장되는 걸 보니 넷플릭스 앱의 문제가 맞음.","SD/OL|카드/NNG|인식/NNG|을/JKO|못하/VX|어서/ECD|SD/OL|카드/NNG|에/JKM|오프/NNG|라인/NNG|저장/NNG|이/JKS|안/MAG|되/VV|ㅁ/ETN|./SF|내/NP|SD/OL|카드/NNG|가/JKS|문제/NNG|이/VCP|ㄴ/ETD|줄/NNB|알/VV|았/EPT|는데/ECD|DISNEY/OL|에서/JKM|는/JX|잘/MAG|저장/NNG|되/XSV|는/ETD|것/NNB|을/JKO|보/VV|니/ECD|넷플릭스/NNG|앱/NNG|의/JKG|문제/NNG|가/JKS|맞/VV|음/ETN|./SF"

"해킹당해서 재가입합니다 보안 신경써주세요. ","해킹/NNG|당하/VV|어서/ECD|재/XPN|가입/NNG|하/XSV|ㅂ니다/EFN|보안/NNG|신경/NNG|쓰/VV|어/ECS|주/VXV|세요/EFN|./SF"

"다 좋은데 TV로 연결해서 볼때도 1.25 2배속까지 선택해서 볼 수 있으면 좋겠습니다. TV로도 빠르게 볼 수 있게 해 주세요. .","다/MAG|좋/VA|은데/ECD|TV/OL|로/JKM|연결/NNG|하/XSV|어서/ECD|보/VV|ㄹ/ETD|때/NNG|도/JX|1.25/NR|2/NR|배속/NNG|까지/JX|선택/NNG|하/XSV|어서/ECD|보/VV|ㄹ/ETD|수/NNB|있/VV|으면/ECD|좋/VA|겠/EPT|습니다/EFN|./SF|TV/OL|로/JKM|도/JX|빠르/VA|게/ECD|보/VV|ㄹ/ETD|수/NNB|있/VV|게/ECD|하/VV|어/ECS|주/VXV|세요/EFN|./SF|./SF"

"미러링 잘되다가 왜 검은 화면만 나오는지좀.","미러/NNG|링/NNG|잘/MAG|되/VV|다가/ECD|왜/MAG|검/VA|은/ETD|화면/NNG|만/JX|나오/VV|는지/ECS|좀/MAG|./SF"

"어린이들이 좋아하는 것 같아요.","어린이/NNG|들/XSN|이/JKS|좋/VV|는/ETD|것/NNB|같/VA|아요/EFN|./SF"

"심심하지않고 좋아요 좀더 옛날꺼 나오면 좋을꺼같아요.","심심/XR|하/XSA|지/ECD|안/MAG|고/ECE|좋/VA|아요/EFN|좀/MAG|더/MAG|옛날/NNG|끄/VV|어/ECS|나오/VV|면/ECE|좋/VA|을/ETD|꺼/NNG|같/VA|아요/EFN|./SF"

"오늘 디즈니플러스 가입했는데 넷플릭스와 다르게 끈어지는 일이 없네.","오늘/NNG|디즈니플러스/NNG|가입/NNG|하/XSV|었/EPT|는데/ECD|넷플릭스/NNG|와/JKM|다르/VA|게/ECD|끄/VV|ㄴ/ETD|어질/VA|는/ETD|일/NNG|이/JKS|없/VA|네/EFN|./SF"

"항상 재미있게 즐기고 있어요.","항상/MAG|재미/NNG|있/VV|게/ECD|즐기/VV|고/ECE|있/VXV|어요/EFN|./SF"

"영상 로드만 무한반복. 돈내고 쓰는건데 짜증납니다.","영상/NNG|로드/NNG|만/JX|무한/NNG|반복/NNG|./SF|돈/NNG|내/VV|쓰/VV|는/ETD|것/NNB|이/VCP|ㄴ데/ECD|짜증/NNG|낳/VV|ㅂ니다/EFN|./SF"

"가격도 계속 올리고 정신 못차렸네 애기 좀만 크면 디즈니로 바로 갈아탄다.","가격/NNG|도/JX|계속/NNG|올리고/NNG|정신/NNG|못/MAG|차리/VV|었/EPT|네/EFN|애/NNG|기/NNG|좀/MAG|만/JX|크/VA|면/ECE|디즈니/NNG|로/JKM|바로/MAG|갈아타/VV|ㄴ다/EFN|./SF"

"갤럭시탭 S7 FE는 아무리해도 어플이 안켜지네요. 지웠다가 다시 깔아도 업데이트를 해도 검은화면에서 넘어가지를 않음.","갤럭시/NNG|탭/NNG|S/OL|7/NR|FE/OL|는/JX|아무리/MAG|하/VV|어도/ECD|앱/NNG|이/JKS|안/MAG|키/VV|네요/EFN|./SF|지우/VV|었/EPT|다가/ECD|다시/MAG|깔/VV|아도/ECD|업데이트/NNG|를/JKO|하/VV|어도/ECD|검/VA|은/ETD|화면/NNG|에서/JKM|넘/VV|지/ECD|를/JX|안/MAG|음/ETN|./SF"

"아주 재미있어요.","아주/MAG|재미/NNG|있/VV|어요/EFN|./SF"

"아니 성인 인증을 대체 왜 만든 거임? 말하기에는 500글을 넘을 것 같으니 말하지 않겠음.","아니/IC|성인/NNG|인증/NNG|을/JKO|대체/NNG|왜/MAG|만들/VV|ㄴ/ETD|거/NNB|임/NNG|?/SF|말하기/NNG|에/JKM|는/JX|500/NR|글/NNG|을/JKO|넘/VV|을/ETD|것/NNB|같/VA|으니/ECD|말하/VV|지/ECD|안/MAG|겠/EPT|음/ETN|./SF"

"유용하게 보고있습니다.","유용/NNG|하/XSV|게/ECD|보/VV|고/ECE|있/VXV|습니다/EFN|./SF"

"제가 보고싶었던게있어서 좋은데 시즌 3 4기까지 있는데 2기까지밖에 없는것들이 많아서 아쉬워요 이건 부탁입니다 블랙클로버 3기도 넣어주세요. ","제가/NNG|보/VV|고/ECE|싶/VXA|었/EPT|더/EPT|ㄴ/ETD|것/NNB|이/JKS|있/VV|어서/ECD|좋/VA|은데/ECD|시즌/NNG|3/NR|4/NR|기/NNM|까지/JX|있/VV|는데/ECD|2/NR|기/NNM|까지/JX|밖에/JX|없/VA|는/ETD|것/NNM|들이/VV|많아서/UN|아쉽/VA|어요/EFN|이/NR|건/NNM|부탁/NNG|이/VCP|ㅂ니다/EFN|블랙클로버/NNP|3/NR|기/NNM|도/JX|넣/VV|어/ECD|주/VXV|세요/EFN|./SF"

"넷플릭스 손절까지 4달 남았나?","넷플릭스/NNG|손/NNG|절/NNG|까지/JX|4/NR|달/NNG|남/VV|았/EPT|나/EFQ|?/SF"

"애니들 대부분 4기밖에 안남아있음.","애/NNG|니들/NNG|대부분/NNG|4/NR|기/NNM|밖에/JX|안/MAG|남/VV|아/ECD|있음/NNG|./SF"

"HDR영상시청중 어두운 화면은 식별이 불가할정도로 눈에 보이지가 않고 겨우 형태만 짐작되는 수준이며 그 와중에 자막은 엄청 밝아서 눈이 아플정도임. 이런식으로 컨트롤 할꺼면 HDR 끄는 옵션을 만들어주던지. 이것때문에 불편해서 요금제를 내려서 일부러HD로만 보는사람도 있다고합니다. 그럴바에 탈퇴하고말지.","화질/NNG|영상/NNG|시청/NNG|중/NNB|어둡/VA|ㄴ/ETD|화면/NNG|은/JX|식별/NNG|이/JKS|불가/NNG|하/XSV|ㄹ/ETD|정도/NNG|로/JKM|눈/NNG|에/JKM|보/VV|지/ECD|가/VV|아/ECS|안/MAG|고/ECE|겨우/MAG|형태/NNG|만/JX|짐작/NNG|되/XSV|는/ETD|수준/NNG|이/VCP|며/ECE|그/MDT|와중/NNG|에/JKM|자막/NNG|은/JX|엄청/MAG|밝/VV|아서/ECD|눈/NNG|이/JKS|아프/VA|ㄹ/ETD|정도/NNG|임/NNG|./SF|이런/MDT|식/NNB|으로/JKM|컨트롤/NNG|하/VV|ㄹ/ETD|꺼/NNG|이/VCP|면/ECE|화질/NNG|끄/VV|는/ETD|옵션/NNG|을/JKO|만들/VV|어/ECD|주/VXV|던지/ECD|./SF|이것/NP|때문/NNB|에/JKM|불편/NNG|하/XSV|어서/ECD|요금/NNG|제/XSN|를/JKO|내리/VV|어서/ECD|일부러/MAG|화질/NNG|로만/NNG|보/VV|는/ETD|사람/NNG|도/JX|있다/MAG|고하/VV|ㅂ니다/EFN|./SF|그러/VV|ㄹ/ETD|바/NNB|에/JKM|탈퇴/NNG|하/XSV|고/ECE|말/VXV|ㄹ지/ECD|./SF"

"5월17일 강철부대13화 지금밤11시인데 아직도 업뎃 안해 주시나요?5월17일공개로 대어잇는데요.","5/NR|월/NNM|17/NR|일/NNM|강철/NNG|부대/NNG|13/NR|화/NNM|지금/NNG|밤/NNG|11/NR|시/NNM|이/VCP|ㄴ데/ECE|아직/MAG|도/JX|업데이트/NNG|안/MAG|하/XSV|어/ECS|주/VXV|시/EPH|나요/EFQ|?/SF|5/NR|월/NNM|17/NR|일/NNM|공개/NNG|로/JKM|대어/NNG|있/VV|는데요/ECD|./SF"

"소리만나고 화면이 안떠요.","소리/NNG|만나/VV|고/ECE|화면/NNG|이/JKS|안/MAG|뜨/VV|어요/EFN|./SF"

"볼거 조오오온나 없고 애니는 볼라치면 뜨문뜨문 있어서 개 별로 다시는 결제 안함.","보/VV|ㄹ/ETD|거/NNB|조/NNG|오오/MAG|오/VV|ㄴ/ETD|나/NP|없/VA|고/ECE|애니메이션/NNG|는/JX|보/VV|ㄹ라치면/ECE|뜨문뜨/UN|문/NNG|있/VV|어서/ECD|개/NNG|별로/MAG|다시/VV|는/ETD|결제/NNG|안/MAG|하/XSV|ㅁ/ETN|./SF"

"어플이 열리지않아 수차례 지우고 설치하는데.계속 안열려요.","앱/NNG|이/JKS|열/VV|지/ECD|안/MAG|아/ECD|수차례/NNG|지우/VV|고/ECE|설치/NNG|하/XSV|는데/ECD|./SF|계속/NNG|안/MAG|열/VV|어요/EFN|./SF"

"진격의 거인 다시 들여와주셔서 감사합니다.","진격/NNG|의/JKG|거인/NNG|다시/MAG|들여오/VV|아/ECS|주/VXV|시/EPH|어서/ECD|감사/NNG|하/XSV|ㅂ니다/EFN|./SF"

"몇개가 없어졌어요.","몇/MDT|개/NNM|가/JKS|없/VA|어/ECD|지/VXV|었/EPT|어요/EFN|./SF"

"OTT 중에서 선구자답게 TV에서 작동도 부드럽고 검색도 쉽고 최고에요.","OTT/OL|중/NNG|에서/JKM|선구자/NNG|답/XSA|게/ECD|TV/OL|에서/JKM|작동/NNG|도/JX|부드럽/VA|고/ECE|검색/NNG|도/JX|쉽/VA|고/ECE|최고/NNG|에/JKM|요/JX|./SF"

"M20 검은화면만 나옴.","M/OL|20/NR|검/VA|은/ETD|화면/NNG|만/JX|나오/VV|ㅁ/ETN|./SF"

"갤탭A 영상재생시 화면이 어두워집니다 밝기 바꿔도 홈으로 나가면 밝아졌다 다시 들어오면 어두워집니다. 폰으로 하면 같은화면도 잘보이는데 탭으로 하면 어두워서 보기 힘듭니다 어떻게 해야하나요 지웠다 새로 깔아도 그대롭니다.","갤럭시/NNG|탭/NNG|A/OL|영상/NNG|재생/NNG|시/NNG|화면/NNG|이/JKS|어둡/VA|어/ECS|지/VXV|ㅂ니다/EFN|밝기/NNG|바꾸/VV|어도/ECD|홈/NNG|으로/JKM|나가/VV|면/ECE|밝아지/VV|었/EPT|다/ECS|다시/MAG|들어오/VV|면/ECE|어둡/VV|어/ECS|지/VXV|ㅂ니다/EFN|./SF|스마트폰/NNG|으로/JKM|하/VV|같/VA|은/ETD|화면/NNG|도/JX|잘/MAG|보/VV|는데/ECD|탭/NNG|으로/JKM|하/VV|면/ECE|어둡/VA|어서/ECD|보/VV|기/ETN|힘들/VA|ㅂ니다/EFN|어떻게/MAG|하/VV|어야/ECD|하/VV|나요/ECE|지우/VV|었/EPT|다/ECS|새로/MAG|깔/VV|아도/ECD|그/MDT|대/NNG|롭/XSA|니/EFQ|다/MAG|./SF"

"가격도 비싸고 보고싶은영화없음.","가격/NNG|도/JX|비싸/VA|고/ECE|보/VV|고/ECE|싶/VXA|은/ETD|영화/NNG|없/VA|음/ETN|./SF"

"최근 들어 모바일에 버퍼링 심하다.","최근/NNG|듣/VV|어/ECD|스마트폰/NNG|에/JKM|버퍼링/NNG|심하/VA|다/EFN|./SF"

"다 좋습니다. 하지만 애니메이션 같은 경우에는 몇화 전도만 있고 나머지 화는 없어서 다른 화들도 빨리 나왔으면 좋겠습니다.","다/MAG|좋/VA|습니다/EFN|./SF|하/VV|지만/ECE|애니메이션/NNG|같/VA|은/ETD|경우/NNG|에/JKM|는/JX|몇/MDT|화/NNG|전도/NNG|만/JX|있/VV|고/ECE|나머지/NNG|화/NNG|는/JX|없/VA|어서/ECD|다른/MDT|화/NNG|들/XSN|도/JX|빨리/MAG|나오/VV|았/EPT|으면/ECD|좋/VA|겠/EPT|습니다/EFN|./SF"

"실행이 안돼.","실행/NNG|이/JKS|안/MAG|되/VV|어/ECS|./SF"

"몇달 전부터 아예 넷플릭스가 실행되지 않아요 이거 왜이런건가요.","몇/MDT|달/NNG|전/NNG|부터/JX|아예/MAG|넷플릭스/NNG|가/JKS|실행/NNG|되/XSV|지/ECD|안/MAG|아요/EFN|이거/NP|왜/MAG|이러/VV|ㄴ/ETD|것/NNB|이/VCP|ㄴ가요/EFQ|./SF"

"회원님의 전화번호 끝자리02 를 변경했다는 메세지가 왔는데 왜 이런메세지가 동의없이 이뤄지는지요? 불쾌하네요.","회원/NNG|님/XSN|의/JKG|전화번호/NNG|끝자리/NNG|02/NR|를/JKO|변경/NNG|하/XSV|었/EPT|다는/ETD|메세지/NNG|가/JKS|오/VV|았/EPT|는데/ECD|왜/MAG|이런/MDT|메세지/NNG|가/JKS|동의/NNG|없이/MAG|이루/VV|어/ECS|지/VXV|는지요/ECS|?/SF|불쾌/NNG|하/XSV|네요/EFN|./SF"

"이용하지도 설치하지도 않았는데 자동결제나가요 왜 환불해 주세요. ","이용/NNG|하/XSV|지/ECD|도/JX|설치/NNG|하/XSV|지/ECD|도/JX|안/MAG|았/EPT|는데/ECD|자동/NNG|결제/NNG|나/JC|가요/NNG|왜/MAG|환불/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"

"참좋은 영화가 너무 많아요.","참/MAG|좋/VA|은/ETD|영화/NNG|가/JKS|너무/MAG|많/VA|아요/EFN|./SF"

"영상 재생이 잘되고 좋으네요 감사합니다.","영상/NNG|재생/NNG|이/JKS|잘/MAG|되/VV|고/ECE|좋으네/UN|요/JX|감사/NNG|하/XSV|ㅂ니다/EFN|./SF"

"드라마가 많은거 같음.","드라마/NNG|가/JKS|많/VA|은/ETD|거/NNB|같/VA|음/ETN|./SF"

"왜 영어로 나오죠? 앱홈에 들어가니 한글로안나오네요 설정 한글로 못바꾸나요?","왜/MAG|영어/NNG|로/JKM|나오/VV|죠/EFN|?/SF|앱/NNG|홈/NNG|에/JKM|들어가/VV|니/ECD|한글/NNG|로/JKM|안/MAG|나오/VV|네요/EFN|서/VV|ㄹ/ETD|정/NNG|한글/NNG|로/JKM|못/MAG|바꾸/VV|나요/EFQ|?/SF"

"유익하게 즐겨 봉니다.","유익/NNG|하/XSV|게/ECD|즐기/VV|어/ECS|봉/NNG|니/VV|다/EFN|./SF"

"저 다 좋은데 귀멸의 칼날 시리즈좀 넣어주시면 안돼요? 귀멸의칼날 1기랑 무한열차 극장판은 있는데 그 뒤에 2기 환각의 거리편 윤곽편 이 없어서요 그것만 넣어주시면 별점5점 드리겠습니다 정말 보고싶어서 말씀드리는겁니다 왓차에는 있다고 해서 넷플에서 있는줄 알았는데 없더라구요 진짜 다 필요없으니까 귀멸의 칼날 시리즈만 꼭 넣어주세요.  이거 귀칼 2기때문에 결제해서 보려는거면 넷플릭스는 아닙니다.","저/NP|다/MAG|좋/VA|은데/ECD|귀멸의칼날/NNP|시리즈/NNG|좀/MAG|넣/VV|어/ECD|주/VXV|시/EPH|면/ECE|안/MAG|되/VV|어요/EFN|?/SF|귀멸의칼날/NNP|1/NR|기/NNM|랑/JC|무한/NNG|열차/NNG|극장/NNG|판/NNG|은/JX|있/VV|는데/ECD|그/MDT|뒤/NNG|에/JKM|2/NR|기/NNG|환각/NNG|의/JKG|거리/NNG|편/NNG|윤곽/NNG|펴/VV|ㄴ/ETD|이/NNB|없/VA|어서요/ECD|그것/NP|만/JX|넣/VV|어/ECD|주/VXV|시/EPH|면/ECE|별점/NNG|5/NR|점/NNM|드리/VV|겠/EPT|습니다/EFN|정말/MAG|보/VV|고/ECE|싶/VXA|어서/ECD|말씀드리/VV|는/ETD|것/NNB|이/VCP|ㅂ니다/EFN|왓차/NNG|에/JKM|는/JX|있/VV|다고/EFN|하/VV|어서/ECD|넷플릭스/NNG|에서/JKM|있/VV|는/ETD|줄/NNB|알/VV|았/EPT|는데/ECD|없/VA|더/EPT|라구요/EFN|진짜/MAG|다/MAG|필요없/VA|으니까/ECD|귀멸의칼날/NNP|시리즈/NNG|만/JX|꼭/MAG|넣/VV|어/ECD|주/VXV|세요/EFN|./SF|이거/NP|귀멸의칼날/NNP|2/NR|기/NNG|때문/NNB|에/JKM|결제/NNG|하/XSV|어서/ECD|보/VV|려는/ETD|거/NNB|이/VCP|면/ECE|넷플릭스/NNG|는/JX|아니/VCN|ㅂ니다/EFN|./SF"

"요몇일째 접속이 안되는데 왜이러나요? 이러면 월정액권을 결재할이유가 없는데.","요/NNG|몇/MDT|일/NNG|째/XSN|접속/NNG|이/JKS|안/MAG|되/VV|는데/ECD|왜/MAG|이러/VV|나요/EFQ|?/SF|이러/VV|면/ECE|월/NNM|정액권/NNG|을/JKO|결재/NNG|하/XSV|ㄹ/ETD|이유/NNG|가/JKS|없/VA|는데/ECD|./SF"

"너무나재미있는것들이있고 친구가조기리보기편하고 좋아요.","너무나/MAG|재미/NNG|있/VV|는/ETD|것/NNB|들/NNM|이있/UN|고/NNG|친구/NNG|가/JKS|조기/NNG|리보/NNG|기편하/VV|고/ECE|좋/VA|아요/EFN|./SF"

"좋습니다 화질이.","좋/VA|습니다/EFN|화질/NNG|이/JKS|./SF"

"갤럭시S탭10.5 1세대 에서 사용했었는데 초기화 하고 나니 접혹이 안됩니다 어떻게 해야하나요?","갤럭시/NNG|S/OL|탭/NNG|10.5/NR|1/NR|세대/NNG|에서/JKM|사용/NNG|하/VV|었/EPT|었/EPT|는데/ECD|초기화/NNG|하/VV|고/ECE|나/VXV|니/ECD|접/NNM|혹/NNG|이/JKS|안/MAG|되/VV|ㅂ니다/EFN|어떻게/MAG|하/VV|어야/ECD|하/VV|나요/EFQ|?/SF"

"콘텐츠 가 다양.","콘텐츠/NNG|가/VV|아/ECS|다양/NNG|./SF"

"해킹 당했어요 도와주세요.  메일로 방금 이메일이랑 전화번호가 변경됐다는데요.","해킹/NNG|당하/VV|었/EPT|어요/EFN|돕/VV|아/ECS|주/VXV|세요/EFN|./SF|메일/NNG|로/JKM|방금/MAG|이메일/NNG|이랑/JC|전화번호/NNG|가/JKS|변경/NNG|되/XSV|었/EPT|다는/ETD|데/NNB|이/VCP|요/EFN|./SF"

"해리포터 주세요. .","해리/NNG|포터/NNG|주/VV|세요/EFN|./SF|./SF"

"별 한개도 아깝네요 우리나라만 비싸게 받고 10월부터는 계정 공유도 못한다니 이제부터 왓차봄 망하세요.","별/NNG|한/MDN|개/NNM|도/JX|아깝/VA|네요/EFN|우리/NP|나라/NNG|만/JX|비싸/VA|게/ECD|받/VV|고/ECE|10/NR|월/NNM|부터/JX|늘/VV|ㄴ/ETD|계정/NNG|공유/NNG|도/JX|못하/VX|ㄴ다니/EFN|이제/NNG|부터/JX|왓차/NNG|봄/NNG|망하/VV|세요/EFN|./SF"

"프로그의 다양화.","프로/NNG|그/NP|의/JKG|다양화/NNG|./SF"

"제가 하이큐를 다 봤는데요 하이큐 4기인 TO THE TOP을 보고 싶어서 찾는데 TO THE TOP도 없고 주술회전도 없고 귀멸의칼날2기도 없습니다 제발 추가 해 주세요. .","제가/NNG|하이/NNG|큐/NNG|를/JKO|다/MAG|보/VV|았/EPT|는데요/ECD|하이/NNG|큐/NNG|4/NR|기이/VV|ㄴ/ETD|TO/OL|THE/OL|TOP/OL|을/JKO|보/VV|고/ECE|싶/VXA|어서/ECD|찾/VV|는데/ECD|TO/OL|THE/OL|TOP/OL|도/JX|없/VA|고/ECE|주술/NNG|회전/NNG|도/JX|없/VA|고/ECE|귀멸의칼날/NNP|2/NR|기/NNM|도/JX|없/VA|습니다/EFN|제발/MAG|추가/NNG|하/VV|어/ECS|주/VXV|세요/EFN|./SF|./SF"

"방송한프로그램 업데이트 좀 빨리해라 다른 앱은 벌써올라왔는데 하루가지나도안올라오는 이유가 일안하고노냐? 짜증나서 이번달을끝으로 탈퇴한다 요금은 더럽게비싸게받아쳐묵고 퉷 나도 디즈니로갈란다.","방송/NNG|하/XSV|ㄴ/ETD|프로그램/NNG|업데이트/NNG|좀/MAG|빨리/MAG|해/NNG|라/NNG|다른/MDT|앱/NNG|은/JX|벌써/MAG|오르/VV|았/EPT|는데/ECD|하루/NNG|가지/NNG|나도/NNG|안/MAG|오르/VV|는/ETD|이유/NNG|가/JKS|일/NNG|안/MAG|하/XSV|고/ECE|놀/VV|냐/EFQ|?/SF|짜증나/VV|아/ECS|스/VV|어/ECS|이번/NNG|달/NNG|을/JKO|끝/NNG|으로/JKM|탈퇴/NNG|하/XSV|ㄴ다/ECS|요금/NNG|은/JX|더럽/VA|게/ECD|비싸/VA|게/ECD|받아치/VV|어/ECS|묵/VV|고/ECE|퉷/UN|나도/NNG|디즈니/NNG|로/JKM|가/VV|ㄹ란다/EFN|./SF"

"미디어 중 최고.","미디어/NNG|중/NNB|최고/NNG|./SF"

"지금 무슨 소리 하고 있는 거네? 지금 무슨 소리 하는 기야?","지금/MAG|무슨/MDT|소리/NNG|하/VV|고/ECE|있/VXV|는/ETD|거/NNB|이/VCP|네/EFN|?/SF|지금/MAG|무슨/MDT|소리/NNG|하/VV|는/ETD|기/NNG|야/JKI|?/SF"

"어떻게 봐야하는지 어렵네요.","어떻/VA|게/ECD|보/VV|아야/ECD|하/VV|는지/ECS|어렵/VA|네요/EFN|./SF"

"동시접속이 많다고 시청제한 시켜버리네요.그러면서 멤버쉽 업그레이드 하라고 은근슬쩍.","동시/NNG|접속/NNG|이/JKS|많/VA|다고/EFN|시청/NNG|제한/NNG|시키/VV|어/ECS|버리/VXV|네요/EFN|./SF|그러/VV|면서/ECE|멤버쉽/NNG|업그레이드/NNG|하라/NNP|이/VCP|고/ECE|은근슬쩍/MAG|./SF"

"결제하지 않으면 무슨 드라마가 있는지조차 확인할수 없음 최소한 원하는게 있는지는 확인 한 후에 결제할수 없나? 생각이 없는 결제방식.","결제/NNG|하/XSV|지/ECD|안/MAG|으면/ECD|무슨/MDT|드라마/NNG|가/JKS|있/VV|는지/ECS|조/NR|차/NNM|확인/NNG|하/XSV|ㄹ/ETD|수/NNB|없/VA|음/ETN|최소한/NNG|원하/VV|는/ETD|것/NNB|이/JKS|있/VV|는지/ECS|는/JX|확인/NNG|한/MDN|후/NNG|에/JKM|결제/NNG|하/XSV|ㄹ/ETD|수/NNB|없/VA|나/EFQ|?/SF|생각/NNG|이/JKS|없/VA|는/ETD|결제/NNG|방식/NNG|./SF"

"어플 실행이 안됩니다. 계속 검은화면에서 안넘어가요.","앱/NNG|실행/NNG|이/JKS|안/MAG|되/VV|ㅂ니다/EFN|./SF|계속/MAG|검/VA|은/ETD|화면/NNG|에서/JKM|안/MAG|넘/VV|어/ECD|가요/NNG|./SF"

"정말 재밌는 것도 많고 정말 좋아요.","정말/MAG|재미/NNG|있/VV|는/ETD|것/NNB|도/JX|많/VA|고/ECE|정말/MAG|좋/VA|아요/EFN|./SF"

"PIP으로전환할때 화면은 안나오고 소리만 나오는데 이거왜이러는거죠?","PIP/OL|으로/JKM|전환/NNG|하/XSV|ㄹ/ETD|때/NNG|화면/NNG|은/JX|안/MAG|나오/VV|고/ECE|소리/NNG|만/JX|나오/VV|는데/ECD|이거/NP|왜/MAG|이러/VV|는/ETD|것/NNB|이/VCP|죠/EFN|?/SF"

