"이런 예능재미있음.","이런/MDT|예능/NNG|재미/NNG|있음/NNG|./SF" 
"컨텐츠도 뭔가 부족하고 창모드 지원 안되는것도 그렇고 여러모로 아쉬움.","컨텐츠/NNG|도/JX|뭔/MDT|가/NNG|부족/NNG|하/XSV|고/ECE|창/NNG|모드/NNG|지원/NNG|안/MAG|되/XSV|는/ETD|것/NNB|도/JX|그렇/VA|고/ECE|여러모로/MAG|아쉬움/NNG|./SF"
"앱이 안 들어가져요. 3일째. 돈을 냈는데 보지를 못해요. 갤 노트20 울트라 사용중입니다. 어플 실행하면 시작화면에서 멈추고. 조금 더 기다리면 응답없다고 알아서 강제 종료돼요 지웠다가 다시 깔았다가 몇 번을 반복했는지 모르겠어요 LTE에서도 깔아보고 와이파이에서도 깔아봐도 안 돼요.","앱/NNG|이/JKS|안/MAG|듣/VV|어/ECD|가지/VXV|어요/EFN|./SF|3/NR|일/NNG|째/XSN|./SF|돈/NNG|을/JKO|내/VV|었/EPT|는데/ECD|보지/NNG|를/JKO|못하/VX|어요/EFN|./SF|갤럭시/NNG|노트/NNG|20/NR|울트라/NNG|사용/NNG|중/NNB|이/VCP|ㅂ니다/EFN|./SF|앱/NNG|실행/NNG|하/XSV|면/ECE|시작/NNG|화면/NNG|에서/JKM|멈추/VV|고/ECE|./SF|조금/MAG|더/MAG|기다리/VV|면/ECE|응답/NNG|없다/VA|고/ECE|알/VV|아서/ECD|강제/NNG|종료/NNG|되/XSV|어요/EFN|지우/VV|었/EPT|다가/ECD|다시/MAG|깔/VV|았/EPT|다가/ECD|몇/MDT|번/NNB|을/JKO|반복/NNG|하/XSV|었/EPT|는지/ECS|모르/VV|겠/EPT|어요/EFN|LTE/OL|에서/JKM|도/JX|깔/VV|아/ECD|보고/NNG|와이파이/NNG|에서/JKM|도/JX|깔/VV|아/ECD|보/VV|아도/ECD|안/MAG|되/VV|어요/EFN|./SF"
"V50사용하는데 갑자기 안들어가져요.","V/OL|50/NR|사용/NNG|하/VV|는데/ECD|갑자기/MAG|안/MAG|듣/VV|어/ECD|가지/VXV|어요/EFN|./SF"
"스트리밍만 이용하면 문제 없으나 시즌 다운로드를 하면 저장 중에 앱이 먹통이 됩니다. 동영상 재생도 안되고 앱을 나갔다가 들어오면 맞는 비밀번호를 입력해도 틀렸다고 하고. 무조건 어플을 삭제했다가 다시 설치해야 다시 작동 됩니다. 갤럭시 S10 모델이고 소프트웨어 최신으로 다 유지하는데도 그럽니다. 개선 바랍니다.","스트리밍/NNG|만/JX|이용/NNG|하/XSV|면/ECE|문제/NNG|없/VA|으나/ECE|시즌/NNG|다운로드/NNG|를/JKO|하/VV|면/ECE|저장/NNG|중/NNB|에/JKM|앱/NNG|이/JKS|먹통/NNG|이/JKC|되/VV|ㅂ니다/EFN|./SF|동영상/NNG|재생/NNG|도/JX|안/MAG|되/VV|고/ECE|앱/NNG|을/JKO|나가/VV|었/EPT|다가/ECD|들어오/VV|면/ECE|맞/VV|는/ETD|비밀/NNG|번호/NNG|를/JKO|입력/NNG|하/XSV|어도/ECD|틀리/VV|었/EPT|다고/EFN|하/VV|고/ECE|./SF|무조건/NNG|앱/NNG|을/JKO|삭제/NNG|하/XSV|었/EPT|다가/ECD|다시/MAG|설치/NNG|하/XSV|어야/ECD|다시/MAG|작동/NNG|되/VV|ㅂ니다/EFN|./SF|갤럭시/NNG|S/OL|10/NR|모델/NNG|이/VCP|고/ECE|소프트웨어/NNG|최신/NNG|으로/JKM|다/MAG|유지/NNG|하/XSV|는데/ECD|도/JX|그러/VV|ㅂ니다/EFN|./SF|개선/NNG|바라/VV|ㅂ니다/EFN|./SF"
"짜증나는게 마블을 좋아햐서 앱 자체는 좋은데 구글 계정에 돈이 있어가지고 그걸 쓸려고 하는데 그 계정으로 로그인을 해도 결제수단은 따른 계정으로 하는게 말이 되나요? 중딩이라 돈도 없는데.","짜증나/VV|는/ETD|것/NNB|이/JKS|마블/NNG|을/JKO|좋아햐/UN|서/JKM|앱/NNG|자체/NNG|는/JX|좋/VA|은데/ECD|구글/NNG|계정/NNG|에/JKM|돈/NNG|이/JKS|있/VV|어/ECD|가지/VXV|고/ECE|그것/NP|을/JKO|쓸/VV|려고/ECD|하/VV|는데/ECD|그/MDT|계정/NNG|으로/JKM|로그인/NNG|을/JKO|하/VV|어도/ECD|결제/NNG|수단/NNG|은/JX|따르/VV|ㄴ/ETD|계정/NNG|으로/JKM|하/VV|는/ETD|것/NNB|이/JKS|말/NNG|이/JKC|되/VV|나요/EFQ|?/SF|중딩/UN|이라/JX|돈/NNG|도/JX|없/VA|는데/ECD|./SF"
"자막은 왤케 자주 씹혀서 나오는지 원. 첨엔 그러려니 하고 봤는데 점점 심하네요 크기도 쥐콩만하고.","자막/NNG|은/JX|왤/UN|하/XSV|게/ECD|자주/MAG|씹히/VV|어서/ECD|나오/VV|는지/ECS|원/NNG|./SF|첨/NNG|에/JKM|는/JX|그러/VV|려니/EFN|하/VV|고/ECE|보/VV|았/EPT|는데/ECD|점점/MAG|심하/VA|네요/EFN|크기/NNG|도/JX|쥐/NNG|콩/NNG|만하/XSA|고/ECE|./SF"
"볼게 너무없어요 드라마좀 더 추가해주세요.","보/VV|ㄹ/ETD|것/NNB|이/JKS|너무/MAG|없/VA|어요/EFN|드라마/NNG|좀/MAG|더/MAG|추가/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"
"별 하나도 아까울 정도임 한국이 만만하냐 디즈니? 배속도 구려 자막도 구려 다른 나라랑 회차 올라오는것도 차별해 다른나라에는 올라오는거 한국은 안올려주고 기다리게 하고 그런다고 구독 해지 안할거 같음? 정신 똑바로 차려 이 각박한 세상 속에서. 니들이 마블 빼고 뭐가 잘나서 배짱 장사야 한국 진출 완전 준비 된것처럼 홍보 하더니 까보니까 뭣도 없어 니들이 구독자가 빨리 떨어지는 이유가 다 있는거야 이럴거면 한국 사업 접어 마블말고는 뭣도 없는 주제에 사용하면서 개빡치게 만들거면 접으라고.","별/NNG|하나/NR|도/JX|아깝/VA|ㄹ/ETD|정도/NNG|임/NNG|한국/NNG|이/JKS|만만/XR|하/XSA|냐/EFQ|디즈니/NNG|?/SF|배/NNG|속도/NNG|구리/VA|어/ECS|자막/NNG|도/JX|구리/VA|어/ECS|다른/MDT|나라/NNG|랑/JC|회/NNG|차/VV|아/ECS|오르/VV|는/ETD|것/NNB|도/JX|차별/NNG|하/XSV|어/ECS|다른/MDT|나라/NNG|에/JKM|는/JX|오르/VV|는/ETD|거/NNB|한국/NNG|은/JX|안/MAG|오르/VV|어/ECS|주/VXV|고/ECE|기다리/VV|게/ECD|하/VV|고/ECE|그러/VV|ㄴ다고/ECE|구독/NNG|해지/NNG|안/MAG|하/XSV|ㄹ/ETD|거/NNB|같/VA|음/ETN|?/SF|정신/NNG|똑바로/MAG|차리/VV|어/ECS|이/MDT|각박/XR|하/XSA|ㄴ/ETD|세상/NNG|속/NNG|에서/JKM|./SF|니들/NNG|이/JKS|마블/NNG|빼/VV|고/ECE|뭐/NP|가/JKS|잘/MAG|나/VV|아서/ECD|배짱/NNG|장사/NNG|야/JX|한국/NNG|진출/NNG|완전/NNG|준비/NNG|되/VV|ㄴ/ETD|것/NNB|처럼/JKM|홍보/NNG|하/VV|더니/ECD|까보/VV|니까/ECD|뭣/UN|도/JX|없/VA|어/ECD|니들/NNG|이/JKS|구독자/NNG|가/JKS|빨리/MAG|떨어지/VV|는/ETD|이유/NNG|가/JKS|다/MAG|있/VV|는/ETD|거/NNB|야/JX|이렇/VA|ㄹ/ETD|거/NNB|이/VCP|면/ECE|한국/NNG|사업/NNG|접어/NNG|마블/NNG|말/VV|고는/ECE|뭣/UN|도/JX|없/VA|는/ETD|주제/NNG|에/JKM|사용/NNG|하/XSV|면서/ECE|개/NNG|빡/NNG|치/VV|게/ECD|만들/VV|ㄹ/ETD|거/NNB|이/VCP|면/ECE|접/VV|으라/EFO|고/NNG|./SF"
"정말아쉽습니다 특히 키즈 부분 자동종료없음이나 스킵 이어재생 등이 왜없는지요.","정말/MAG|아쉽/VA|습니다/EFN|특히/MAG|키즈/NNG|부분/NNG|자동/NNG|종료/NNG|없/VA|음/ETN|이나/JC|스킵/NNG|있/VV|어/ECD|재생/NNG|등/NNB|이/JKS|왜/MAG|없/VA|는지요/EFQ|./SF"
"마블 픽사 넷지오 보려고 구독한거긴 한데 그렇다고 해도 콘텐츠가 너무 빈약하네요 앱 UI도 너무 별로예요. 백그라운드 재생도 안되고 터치잠금버튼도 없고 장르별 카테고리 정리도 제대로 안되어있고 연관된 키워드로 검색도 안되고 . 오역도 너무 많아요. 번역같은거 둔감한 편인데도 거슬릴 정도로 오역이나 오탈자가 많아요. 혹시 그 가망없는 분이 번역하는건지. 왓차는 커녕 쿠팡플레이에도 한참 딸려요. 도대체 소비자 리뷰를 보긴 하는건지 개선할 생각이 있긴 한지 잘 모르겠네요.","마블/NNG|픽/MAG|사/NNG|넷/NNG|지오/IC|보/VV|려고/ECD|구독/NNG|하/XSV|ㄴ/ETD|거/NNB|길/VA|ㄴ/ETD|한데/NNG|그렇/VA|다고/EFN|해도/NNG|콘텐츠/NNG|가/JKS|너무/MAG|빈약/NNG|하/XSV|네요/EFN|앱/NNG|UI/OL|도/JX|너무/MAG|별로/MAG|예/NNG|이/VCP|요/EFN|./SF|백/NNG|그라운드/NNG|재생/NNG|도/JX|안/MAG|되/VV|고/ECE|터치/NNG|잠금/NNG|버튼/NNG|도/JX|없/VA|고/ECE|장르/NNG|별/XSN|카테고리/NNG|정리/NNG|도/JX|제대로/MAG|안/MAG|되/VV|어/ECD|있/VXV|고/ECE|연관/NNG|되/XSV|ㄴ/ETD|키워드/NNG|로/JKM|검색/NNG|도/JX|안/MAG|되/VV|고/ECE|./SF|오역/NNG|도/JX|너무/MAG|많/VA|아요/EFN|./SF|번역/NNG|같/VA|은/ETD|거/NNB|두/VV|ㄴ/ETD|감하/VV|ㄴ/ETD|편/NNB|이/VCP|ㄴ데/ECE|도/JX|거슬리/VV|ㄹ/ETD|정도/NNG|로/JKM|오역/NNG|이나/JX|오/NNG|탈자/NNG|가/JKS|많/VA|아요/EFN|./SF|혹시/MAG|그/MDT|가망/NNG|없/VA|는/ETD|분/NNB|이/JKS|번역/NNG|하/XSV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|./SF|왓차는/UN|커녕/JX|쿠팡/NNP|플레이/NNG|에/JKM|도/JX|한참/NNG|딸리/VV|어요/EFN|./SF|도대체/MAG|소비자/NNG|리뷰/NNG|를/JKO|보/VV|기/ETN|는/JKS|하/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|개선/NNG|하/XSV|ㄹ/ETD|생각/NNG|이/JKS|있/VV|기/ETN|는/JKS|한지/NNG|잘/MAG|모르/VV|겠/EPT|네요/EFN|./SF"
"어렸을 때 보던거 있어서 좋음.","어리/VA|었/EPT|을/ETD|때/NNG|보/VV|더/EPT|ㄴ/ETD|거/NNB|있/VV|어서/ECD|좋/VA|음/ETN|./SF"
"화면밝기 너무 어두워서 시청하기 불편합니다 몇개는 시청하다 포기했어요 작품의 문제라기보다 디즈니 자체의 문제인거같아요 개선바랍니다.","화면/NNG|밝기/NNG|너무/MAG|어둡/VA|어서/ECD|시청/NNG|하/XSV|기/ETN|불편/NNG|하/XSV|ㅂ니다/EFN|몇/MDT|개/NNM|는/JX|시청/NNG|하/XSV|다/ECS|포기/NNG|하/XSV|었/EPT|어요/EFN|작품/NNG|의/JKG|문제/NNG|라/NNG|기/NNG|보다/JKM|디즈니/NNG|자체/NNG|의/JKG|문제/NNG|이/VCP|ㄴ/ETD|거/NNB|같/VA|아요/EFN|개선/NNG|바라/VV|ㅂ니다/EFN|./SF"
"스파이더맨 시리즈 볼 수 있게 해 주면 5점 줄게.","스파이/NNG|더/MAG|맨/MDT|시리즈/NNG|보/VV|ㄹ/ETD|수/NNB|있/VV|게/ECD|하/VV|어/ECS|주/VXV|면/ECE|5/NR|점/NNM|주/VV|ㄹ게/EFN|./SF"
"SPLASH가 너무 오래 표시되는 것 같아요.","SPLASH/OL|가/JKS|너무/MAG|오래/MAG|표시/NNG|되/XSV|는/ETD|것/NNB|같/VA|아요/EFN|./SF"
"한국 디플 상륙 하자마자 1년치 가입했어요. 어플 렉이 없어서 좋습니다. 다만 디즈니채널에서 하는 애니메니션들이 한국어 자막이 없어 더빙판으로 봐야하는게 아쉬워요. 디플이 한국 철수 안하고 장수하면 좋겠네요.","한국/NNG|디즈니플러스/NNG|상륙/NNG|하/VV|자마자/ECE|1/NR|년/NNM|하/XSA|지/ECD|가입/NNG|하/XSV|었/EPT|어요/EFN|./SF|앱/NNG|버퍼링/NNG|이/JKS|없/VA|어서/ECD|좋/VA|습니다/EFN|./SF|다만/MAG|디즈니/NNG|채널/NNG|에서/JKM|하/VV|는/ETD|애니메니션들/UN|이/JKS|한국어/NNG|자막/NNG|이/JKS|없/VA|어/ECD|더빙/NNG|판/XSN|으로/JKM|보/VV|아야/ECD|하/VV|는/ETD|것/NNB|이/JKS|아쉽/VA|어요/EFN|./SF|디즈니플러스/NNG|이/JKS|한국/NNG|철수/NNG|안/MAG|하/XSV|고/ECE|장수/NNG|하/XSV|면/ECE|좋/VA|겠/EPT|네요/EFN|./SF"
"폰에서 배속조절안되는게 넘 별로인듯.","스마트폰/NNG|에서/JKM|배속/NNG|조절/NNG|안/MAG|되/XSV|는/ETD|것/NNB|이/JKS|넘/MAG|별로/MAG|일/VV|ㄴ/ETD|듯/NNB|./SF"
"넷플릭스 만큼은 아니어도 최소한 따라갈려고 노력은 하셔야죠 적은금액도 아닌데 툴바 불편해요 시정해주세요.","넷플릭스/NNG|만큼/NNG|은/JX|아니/VV|어도/ECD|최소한/NNG|따르/VV|아/ECS|갈리/VV|어/ECS|고/NNG|노력/NNG|은/JX|하/VV|시/EPH|어/ECS|야죠/UN|적/VA|은/ETD|금액/NNG|도/JX|아니/VCN|ㄴ데/ECE|툴/UN|바/NNG|불편/NNG|해/NNG|요/JX|시정/NNG|하/XSV|어/ECS|주/VXV|세요/EFN|./SF"
"로딩도 느리고 넷플처럼 빨리 재생이나 화면밝기 조절 기능도 없고 자막도 쥐똥만하게 나오고 소울같은 애니메이션도 다 더빙이고.걍 모자라도 한참 모자란 앱입니다.해지하러 갑니다.","로딩/NNG|도/JX|느리/VA|고/ECE|넷플릭스/NNG|처럼/JKM|빨리/MAG|재생/NNG|이나/JC|화면/NNG|밝기/NNG|조절/NNG|기능/NNG|도/JX|없/VA|고/ECE|자막/NNG|도/JX|쥐/NNG|똥/NNG|만하/XSA|게/ECD|나오/VV|고/ECE|소/NNG|우리/NP|같/VA|은/ETD|애니메이션/NNG|도/JX|다/MAG|더빙/NNG|이/VCP|고/ECE|./SF|걍/MAG|모자/NNG|라도/JX|한참/NNG|모자/NNG|이/VCP|란/ETD|앱/NNG|이/VCP|ㅂ니다/EFN|./SF|해지/NNG|하/XSV|러/ECD|갈/VV|ㅂ니다/EFN|./SF"
"어플 실행이 안됩니다. 갤럭시 노트20 울트라입니다. 그냥 로딩중에 오류가 뜨네요.","앱/NNG|실행/NNG|이/JKS|안/MAG|되/VV|ㅂ니다/EFN|./SF|갤럭시/NNG|노트/NNG|20/NR|울트라/NNG|일/VV|ㅂ니다/EFN|./SF|그냥/MAG|로딩/NNG|중/NNB|에/JKM|오류/NNG|가/JKS|뜨/VV|네요/EFN|./SF"
"컨텐츠 부족은 둘째치고 재생속도 조절기능이 시급함.","컨텐츠/NNG|부족/NNG|은/JX|둘째치/VV|고/ECE|재생/NNG|속도/NNG|조절/NNG|기능/NNG|이/JKS|시급/XR|하/XSA|ㅁ/ETN|./SF"
"다 좋은데 PIP 기능이 안되네요? S22U이용중. 빠른처리 부탁.","다/MAG|좋/VA|은데/ECD|PIP/NNG|기능/NNG|이/JKS|안/MAG|되/VV|네요/EFN|?/SF|S/OL|22/NR|U/OL|이용/NNG|중/NNB|./SF|빠르/VA|ㄴ/ETD|처리/NNG|부탁/NNG|./SF"
"배속 안됨 자막 테두리문제 재생목록 지우기 없음 등등 대충 서비스하려는게 보임.","배속/NNG|안/MAG|되/VV|자막/NNG|테두리/NNG|문제/NNG|재생/NNG|목록/NNG|지우/VV|기/ETN|없/VA|음/ETN|등등/NNB|대충/NNG|서비스/NNG|하/XSV|려는/ETD|것/NNB|이/JKS|보임/NNG|./SF"
"어플설치가 안대요. 결제는다했는데 .","어플설치/UN|가/JKS|알/VV|ㄴ대요/EFN|./SF|결제/NNG|는/JX|다하/VV|었/EPT|는데/ECD|./SF"
"앱 안정성이 너무 낮습니다.","앱/NNG|안정성/NNG|이/JKS|너무/MAG|낮/VA|습니다/EFN|./SF"
"잘쓰고있었는데 갑자기 프로필 들어가는거 이후로 앱오류 뜨면서 계속 재부팅됩니다.","잘/MAG|쓰/VV|고/ECE|있/VXV|었/EPT|는데/ECD|갑자기/MAG|프로/NNG|필/NNG|들어가/VV|는/ETD|거/NNB|이후/NNG|로/JKM|앱/NNG|오류/NNG|뜨/VV|면서/ECE|계속/NNG|재/XPN|부팅/NNG|되/XSV|ㅂ니다/EFN|./SF"
"출시한지 얼마 안된 앱이지만 넷X 왓X 만큼 아니더라도 개선해야 할게 많겠지만 좋은서비스 계속 해주시길 바래요.","출시/NNG|하/XSV|ㄴ/ETD|지/NNB|얼마/NNG|안/MAG|되/XSV|ㄴ/ETD|앱/NNG|이지만/NNG|넷/NR|X/OL|왓/UN|X/OL|만큼/NNB|아니/VCN|더라도/ECD|개선/NNG|하/XSV|어야/ECD|하/VV|ㄹ/ETD|것/NNB|이/JKS|많/VA|겠/EPT|지만/ECE|좋/VA|은/ETD|서비스/NNG|계속/MAG|하/VV|어/ECS|주시/NNG|길/NNG|바/NNG|래요/UN|./SF"
"방금 앱설치하고 실행하는데 먹통됩니다. 아야 실행 하다 튕겼어요 갤S20 FE 기종입니다. 조치 취해주세요.","방금/MAG|앱/NNG|설치/NNG|하/XSV|고/ECE|실행/NNG|하/XSV|는데/ECD|먹통/NNG|되/XSV|ㅂ니다/EFN|./SF|아야/MAG|실행/NNG|하다/NNP|튕기/VV|었/EPT|어요/EFN|갤럭시/NNG|S/OL|20/NR|FE/OL|기종/NNG|이/VCP|ㅂ니다/EFN|./SF|조치/NNG|취하/VV|어/ECS|주/VXV|세요/EFN|./SF"
"디즈니라고 믿기 어려울만큼 너무 준비가 안된채 서비스개시 한거 같아요. 1. 오류코드를 전혀 대응하지 못하고 2. 이로 인해 상담요청해도 끊어지기 일수 심지어 기다려달라고 한후 일정시간 지나면 상담종료 되는걸 유도하는듯한 느낌까지 저는 굳이 디즈니 안봐도 되지만 아이들 보여주려고 결제했다가 안좋은 기억만 남기고 갑니다.","디즈니/NNG|라고/JX|믿/VV|기/ETN|어렵/VA|ㄹ/ETD|만큼/NNB|너무/MAG|준비/NNG|가/JKS|안/MAG|되/VV|ㄴ/ETD|채/NNB|서비스/NNG|개시/NNG|한/MDN|거/NNB|같/VA|아요/EFN|./SF|1/NR|./SF|오류/NNG|코드/NNG|를/JKO|전혀/MAG|대응/NNG|하/XSV|지/ECD|못하/VX|고/ECE|2/NR|./SF|이/NR|로/JKM|인하/VV|어/ECS|상담/NNG|요청/NNG|하/XSV|어도/ECD|끊어지/VV|기/ETN|일수/NNG|심지어/MAG|기다리/VV|어/ECS|달라/VV|고/ECE|하/VV|ㄴ/ETD|후/NNG|일정/NNG|시간/NNG|지나/VV|면/ECE|상담/NNG|종료/NNG|되/VV|는/ETD|것/NNB|을/JKO|유도/NNG|하/XSV|는/ETD|듯하/VXA|ㄴ/ETD|느낌/NNG|까지/JX|저/NP|는/JX|굳이/MAG|디즈니/NNG|안/MAG|보/VV|아도/ECD|되/VV|지만/ECE|아이/NNG|들/XSN|보/VV|어/ECS|주/VXV|려고/ECD|결제/NNG|하/XSV|었/EPT|다가/ECD|안/MAG|좋/VA|은/ETD|기억/NNG|만/JX|남기/VV|고/ECE|갈/VV|ㅂ니다/EFN|./SF"
"PS4로 연동 해서 보려고 하는데 PS4에서는 어떻게 연동 하는지 몰르겠네요 PS4에서는 계속 모바일로 로그인 하라는데 어떻게 하는줄 모르겠네요.","PS/OL|4/NR|로/NNG|연동/NNP|하/VV|어서/ECD|보/VV|려고/ECD|하/VV|는데/ECD|PS/OL|4/NR|에서/JKM|는/JX|어떻/VA|게/ECD|연동/NNP|하/VV|는지/ECS|몰르/VV|겠/EPT|네요/EFN|PS/OL|4/NR|에서/JKM|는/JX|계속/MAG|스마트폰/NNG|로/JKM|로그인/NNG|하/NNB|이/VCP|라는/ETD|데/NNB|어떻/VA|게/ECD|하/VV|는/ETD|줄/NNB|모르/VV|겠/EPT|네요/EFN|./SF"
"요즘 세상에 국가별로 공개 날짜 다른건 차별이거나 준비에 성의가 없는거다. 그럼 다른 OTT들은 어떻데 가능하냐? 우편으로 주고 받는 것도 아니고 요즘 시대에 편차를 두는건 두고두고 비판 받아야 된다.이럴거면 뭐하러 글로벌 서비스를 하나.영어권만 하지.","요즘/NNG|세상/NNG|에/JKM|국가별/NNG|로/JKM|공개/NNG|날짜/NNG|다른/MDT|건/NNM|차별/NNG|이/VCP|거나/ECE|준비/NNG|에/JKM|성의/NNG|가/JKS|없/VA|는/ETD|거/NNB|이/VCP|다/EFN|./SF|그러/VV|ㅁ/ETN|다르/VV|ㄴ/ETD|OTT/OL|듣/VV|은/ETD|어떻/VA|데/EFN|가능/NNG|하/XSV|냐/EFQ|?/SF|우편/NNG|으로/JKM|주고/NNG|받/VV|는/ETD|것/NNB|도/JX|아니/VV|고/ECE|요즘/NNG|시대/NNG|에/JKM|편차/NNG|를/JKO|두/VV|는/ETD|것/NNB|은/JKS|두고두고/MAG|비판/NNG|받/VV|아야/ECD|되/VV|ㄴ다/EFN|./SF|이렇/VV|ㄹ/ETD|거/NNB|이/VCP|면/ECE|뭐하/VV|러/ECD|글로벌/NNG|서비스/NNG|를/JKO|하나/NR|./SF|영어권/NNG|만/JX|하/VV|지/ECD|./SF"
"저번주까진 어플로 잘 봤는데 어제부터 들어가지지 않고 계속 튕겨요.어플로 주로 보는데.해결 좀 해주세요.","저번/NNG|주/NNG|까지/JX|는/JX|앱/NNG|로/JKM|잘/MAG|보/VV|았/EPT|는데/ECD|어제/NNG|부터/JX|듣/VV|어/ECD|가지/VXV|지/ECD|안/MAG|고/ECE|계속/MAG|튕기/VV|어요/EFN|./SF|앱/NNG|로/JKM|주로/MAG|보/VV|는데/ECD|./SF|해결/NNG|좀/MAG|하/VV|어/ECS|주/VXV|세요/EFN|./SF"
"폰으로 보면 자막이 너무 작아서 불편해요.","스마트폰/NNG|으로/JKM|보/VV|면/ECE|자막/NNG|이/JKS|너무/MAG|작/VA|아서/ECD|불편/NNG|하/XSV|어요/EFN|./SF"
"별로볼것도 없는게 간만에 볼랬더니 에러나네요.","별로/MAG|보/VV|ㄹ/ETD|것/NNB|도/JX|없/VA|는/ETD|것/NNB|이/JKS|간만/NNG|에/JKM|보/VV|ㄹ/ETD|랬/UN|덜/VV|니/ECD|에러/NNG|나/JX|네/MDN|요/NNG|./SF"
"자막이 진짜 쓰레기임. 비직관적이고 멍청한 의역들로 이해를 망침.","자막/NNG|이/JKS|진짜/NNG|쓰레기/NNG|임/NNG|./SF|비/XPN|직관적/NNG|이/VCP|고/ECE|멍청/XR|하/XSA|ㄴ/ETD|의역/NNG|들/XSN|로/NNG|이해/NNG|를/JKO|망치/VV|ㅁ/ETN|./SF"
"자제히 읽어보니까 그게답이써저있꺼든요 내용물이뭔지잘모르겠어요.","자제/NNG|히/NNG|읽/VV|어/ECD|보/VV|니까/ECD|그/VV|게/ECD|답/NNG|이/JKS|쓰/VV|어/ECS|저있꺼든/UN|요/JX|내용물/NNG|이/JKS|무엇/NNG|이/VCP|ㄴ지/ECD|잘/MAG|모르/VV|겠/EPT|어요/EFN|./SF"
"크롬캐스트로 TV에 연결해서 볼때 자막이 너무 작게 나와요.","크롬/NNG|캐스트/NNG|로/JKM|TV/OL|에/JKM|연결/NNG|하/XSV|어서/ECD|보/VV|ㄹ/ETD|때/NNG|자막/NNG|이/JKS|너무/MAG|작/VA|게/ECD|나오/VV|아요/EFN|./SF"
"다른 대부분의 것들은 최고입니다만 플레이어의 개선 및 업그레이드가 필요합니다. 2배속 플레이. 멀티플레이등.","다른/MDT|대부분/NNG|의/JKG|것/NNB|듣/VV|은/ETD|최고/NNG|이/VCP|ㅂ니다만/ECE|플레이어/NNG|의/JKG|개선/NNG|및/MAG|업그레이드/NNG|가/JKS|필요/NNG|하/XSV|ㅂ니다/EFN|./SF|2/NR|배속/NNG|플레이/NNG|./SF|멀티/NNG|플레이/NNG|등/NNB|./SF"
"쓰레기같은 앱 다운받지마세요. 스트레스 한시간 투자해도 해결못하니까.","쓰레기/NNG|같/VA|은/ETD|앱/NNG|다운/NNG|받/VV|지/ECD|마/VV|세요/EFN|./SF|스트레스/NNG|한/MDN|시간/NNG|투자/NNG|하/XSV|어도/ECD|해결/NNG|못/MAG|하/VV|니까/ECD|./SF"
"앱 실행이 안되는데 뭘 볼수있죠.","앱/NNG|실행/NNG|이/JKS|안/MAG|되/VV|는데/ECD|무엇/NNG|을/JKO|보/VV|ㄹ/ETD|수/NNB|있/VV|죠/EFN|./SF"
"1달간 사용한 후 다음달 결제일 전날 결제취소를 했는데 갑자기 결제를 자기 멋대로 해버렸어요. 원래 이게 맞는 건지는 모르겠지만 언제나 해지 할 수 있는 시스템 아니였나요.","1/NR|달/NNG|간/NNB|사용/NNG|하/XSV|ㄴ/ETD|후/NNG|다음달/NNG|결제/NNG|일/NNG|전날/NNG|결제/NNG|취소/NNG|를/JKO|하/VV|었/EPT|는데/ECD|갑자기/MAG|결제/NNG|를/JKO|자기/NP|멋대로/MAG|하/VV|어/ECS|버리/VXV|었/EPT|어요/EFN|./SF|원래/MAG|이것/NP|이/JKS|맞/VV|는/ETD|것/NNB|이/VCP|ㄴ지/ECS|는/JX|모르/VV|겠/EPT|지만/ECE|언제나/MAG|해지/NNG|하/VV|ㄹ/ETD|수/NNB|있/VV|는/ETD|시스템/NNG|아니/VCN|였/EPT|나요/EFQ|./SF"
"요금제가 디즈니 포함이라 설치하려고했더니 하루종일 로딩이네.","요금/NNG|제가/NNG|디즈니/NNG|포함/NNG|이/VCP|라/ECD|설치/NNG|하/XSV|려고/ECD|하/VV|었/EPT|더니/ECD|하루/NNG|종일/NNG|로딩/NNG|이/VCP|네/EFN|./SF"
"왜 휴대폰이 거진 일주일동안 안되나요 아 해지할거임.","왜/MAG|스마트폰/NNG|이/JKS|거진/MAG|일주일/NNG|동안/NNG|안/MAG|되/VV|나요/ECE|아/VV|아/ECS|해지/NNG|하/XSV|ㄹ/ETD|거/NNB|임/NNG|./SF"
"디즈니플러스는 아이폰만 호환되게 만드셨나요 갤럭시 S10 이용 중인데 계속 로딩만 뜨네요 다른사람 아이폰은 잘만 된다 이러는데 갤럭시만 안되는겁니까.","디즈니플러스/NNG|는/JX|아이/NNG|스마트폰/NNG|만/JX|호환/NNG|되/XSV|게/ECD|만들/VV|시/EPH|었/EPT|나요/EFQ|갤럭시/NNG|S/OL|10/NR|이용/NNG|중/NNB|이/VCP|ㄴ데/ECE|계속/NNG|로딩/NNG|만/JX|뜨/VV|네요/EFN|다른/MDT|사람/NNG|아이/NNG|스마트폰/NNG|은/JX|잘만/NNP|되/VV|ㄴ다/EFN|이러/VV|는데/ECD|갤럭시/NNG|만/JX|안/MAG|되/VV|는/ETD|것/NNB|이/VCP|ㅂ니까/EFQ|./SF"
